Location,Brand,Size,Model,Color,Supplier,Rate
New York,Toyota,Compact,Corolla,Red,Enterprise,21.15
Los Angeles,Honda,Midsize,Accord,Blue,Hertz,22.40
Paris,Ford,SUV,Explorer,Black,Avis,25.75
London,Chevrolet,Full-size,Impala,White,Budget,18.99
Tokyo,Nissan,Compact,Altima,Silver,Enterprise,20.80
San Francisco,BMW,Midsize,3 Series,Gray,Hertz,24.60
Sydney,Mercedes-Benz,Full-size,E-Class,Red,Avis,29.95
Toronto,Audi,Compact,A4,Blue,Budget,26.30
Dubai,Volkswagen,SUV,Tiguan,Black,Enterprise,23.75
Mumbai,Tesla,Full-size,Model S,White,Hertz,32.10
Singapore,Toyota,Compact,Camry,Silver,Avis,20.45
Rio de Janeiro,Honda,Midsize,Civic,Gray,Budget,19.80
Hong Kong,Chevrolet,Full-size,Malibu,Red,Enterprise,18.15
Rome,Nissan,Compact,Sentra,Blue,Hertz,21.90
Berlin,BMW,SUV,X5,White,Avis,27.50
Amsterdam,Mercedes-Benz,Full-size,CLS,Black,Budget,28.75
Shanghai,Audi,Compact,A3,Gray,Enterprise,24.25
Cape Town,Volkswagen,Midsize,Passat,Black,Hertz,20.05
Buenos Aires,Tesla,Full-size,Model 3,Red,Avis,30.60
Munich,Toyota,Compact,Yaris,Blue,Budget,19.35
Barcelona,Honda,Midsize,Fit,White,Enterprise,22.10
Seoul,Chevrolet,SUV,Equinox,Gray,Hertz,23.95
Beijing,Nissan,Full-size,Maxima,Red,Avis,25.20
Milan,BMW,Compact,1 Series,Blue,Budget,21.35
Vienna,Mercedes-Benz,Full-size,S-Class,Silver,Enterprise,29.25
Dublin,Audi,Compact,Q3,Gray,Hertz,24.90
Zurich,Volkswagen,Midsize,Arteon,Red,Avis,26.80
Copenhagen,Tesla,Full-size,Model X,Blue,Budget,32.70
Stockholm,Toyota,Compact,Corolla,White,Enterprise,21.80
Prague,Honda,Midsize,Accord,Silver,Hertz,22.65
Bangkok,Chevrolet,Full-size,Malibu,Gray,Budget,19.45
Istanbul,Nissan,Compact,Altima,Red,Enterprise,20.60
Athens,BMW,SUV,X3,Blue,Hertz,25.40
Lisbon,Mercedes-Benz,Full-size,GLC,White,Avis,27.95
Oslo,Audi,Compact,A4,Black,Budget,24.05
Warsaw,Volkswagen,Midsize,Passat,Silver,Enterprise,21.50
Helsinki,Tesla,Full-size,Model Y,Gray,Hertz,31.15
Moscow,Toyota,Compact,Corolla,Red,Avis,20.25
Bangalore,Honda,Midsize,Amaze,Blue,Budget,19.30
Seville,Chevrolet,SUV,Traverse,White,Enterprise,23.10
Vienna,Toyota,Compact,Camry,Gray,Hertz,22.45
Rome,BMW,Midsize,5 Series,Black,Avis,26.70
Barcelona,Mercedes-Benz,Full-size,GLA,Red,Budget,28.80
Amsterdam,Audi,Compact,A1,White,Enterprise,24.85
Shanghai,Volkswagen,Midsize,Passat,Gray,Hertz,21.75
Cape Town,Tesla,SUV,Model Y,Blue,Avis,32.90
Buenos Aires,Toyota,Compact,Corolla,Red,Budget,20.90
Munich,Honda,Midsize,Civic,Black,Enterprise,22.55
Beijing,Chevrolet,Full-size,Impala,White,Hertz,18.85
Milan,Nissan,Compact,Altima,Gray,Avis,23.40
Vienna,BMW,SUV,X5,Red,Budget,27.15
Dublin,Mercedes-Benz,Full-size,CLS,Silver,Enterprise,29.60
Zurich,Audi,Compact,A3,Blue,Hertz,25.30
Copenhagen,Volkswagen,Midsize,Golf,Silver,Avis,22.70
Stockholm,Tesla,Full-size,Model S,Gray,Budget,30.25
Prague,Toyota,Compact,Corolla,Red,Enterprise,20.35
Bangkok,Honda,Midsize,Accord,White,Hertz,23.75
Istanbul,Chevrolet,SUV,Equinox,Black,Avis,26.40
Athens,Nissan,Full-size,Maxima,Blue,Budget,25.50
Lisbon,BMW,Compact,1 Series,Gray,Enterprise,24.20
Oslo,Mercedes-Benz,Full-size,GLC,Red,Hertz,28.15
Warsaw,Audi,Compact,Q3,White,Avis,22.35
Helsinki,Volkswagen,Midsize,Passat,Black,Budget,21.40
Moscow,Tesla,Full-size,Model 3,Blue,Enterprise,31.90
Bangalore,Toyota,Compact,Etios,Gray,Hertz,19.20
Seville,Honda,Midsize,Fit,Red,Avis,20.80
Vienna,Chevrolet,SUV,Traverse,White,Budget,24.05
Rome,Nissan,Compact,Juke,Gray,Enterprise,22.25
Barcelona,BMW,Midsize,3 Series,Blue,Hertz,25.40
Amsterdam,Mercedes-Benz,Full-size,E-Class,Silver,Avis,27.55
Shanghai,Audi,Compact,Q5,Red,Enterprise,29.60
Cape Town,Volkswagen,Midsize,Golf,Silver,Hertz,24.95
Buenos Aires,Tesla,Full-size,Model X,Blue,Budget,31.20
Munich,Toyota,Compact,Yaris,Gray,Enterprise,19.65
Beijing,Honda,Midsize,Civic,Red,Hertz,21.05
Milan,Chevrolet,Full-size,Impala,White,Avis,28.30
Vienna,Nissan,Compact,Micra,Blue,Budget,23.10
Dublin,BMW,Midsize,5 Series,Silver,Enterprise,26.75
Zurich,Mercedes-Benz,Full-size,S-Class,Black,Hertz,29.20
Copenhagen,Audi,Compact,A4,Red,Avis,25.85
Stockholm,Volkswagen,Midsize,Passat,Gray,Budget,22.20
Prague,Tesla,Full-size,Model Y,Blue,Enterprise,30.50
Bangkok,Toyota,Compact,Vios,Red,Hertz,18.90
Istanbul,Honda,Midsize,Accord,White,Avis,20.15
Athens,Chevrolet,Full-size,Malibu,Gray,Budget,24.40
Lisbon,Nissan,Compact,Leaf,Blue,Enterprise,23.55
Oslo,BMW,Midsize,3 Series,White,Hertz,26.20
Warsaw,Mercedes-Benz,Full-size,GLA,Black,Avis,27.95
Helsinki,Audi,Compact,Q3,Gray,Budget,24.50
Moscow,Volkswagen,Midsize,Passat,Red,Enterprise,22.75
Bangalore,Tesla,Full-size,Model X,Silver,Hertz,31.40
Seville,Toyota,Compact,Corolla,Blue,Avis,21.35
Vienna,Honda,Midsize,Accord,White,Budget,23.40
Rome,Chevrolet,Full-size,Impala,Gray,Enterprise,26.65
Barcelona,Nissan,Compact,Altima,Red,Hertz,25.20
Amsterdam,BMW,Midsize,5 Series,Blue,Avis,28.45
Shanghai,Mercedes-Benz,Full-size,E-Class,Silver,Budget,29.70
Cape Town,Audi,Compact,A3,Black,Enterprise,24.95
Buenos Aires,Volkswagen,Midsize,Golf,Gray,Hertz,21.85
Munich,Tesla,Full-size,Model S,Red,Enterprise,30.20
Beijing,Toyota,Compact,Corolla,Blue,Hertz,22.65
Milan,Honda,Midsize,Civic,White,Avis,23.80
Vienna,Chevrolet,Full-size,Malibu,Black,Budget,26.05
Dublin,Nissan,Compact,Altima,Gray,Enterprise,25.10
Zurich,BMW,SUV,X5,Red,Hertz,28.85
Copenhagen,Mercedes-Benz,Compact,A-Class,Blue,Avis,23.60
Stockholm,Audi,Midsize,A4,Black,Budget,22.95
Prague,Volkswagen,Full-size,Passat,White,Enterprise,20.70
Bangkok,Tesla,Compact,Model 3,Gray,Hertz,27.30
Istanbul,Toyota,Midsize,Corolla,Red,Avis,19.95
Athens,Honda,Midsize,Accord,Blue,Budget,23.20
Lisbon,Chevrolet,Full-size,Impala,Black,Enterprise,27.25
Oslo,Nissan,Compact,Micra,White,Hertz,22.40
Warsaw,BMW,Midsize,3 Series,Gray,Avis,25.65
Helsinki,Mercedes-Benz,Full-size,E-Class,Red,Budget,29.10
Moscow,Audi,Compact,Q5,Silver,Enterprise,26.75
Bangalore,Volkswagen,Midsize,Passat,Black,Hertz,23.10
Seville,Tesla,Full-size,Model Y,Blue,Avis,32.50
Vienna,Toyota,Compact,Camry,Gray,Budget,21.65
Rome,Honda,Midsize,Civic,Red,Enterprise,24.40
Barcelona,Chevrolet,Full-size,Impala,Black,Hertz,27.05
Amsterdam,Nissan,Compact,Altima,White,Avis,26.10
Shanghai,BMW,SUV,X3,Silver,Enterprise,23.85
Cape Town,Mercedes-Benz,Full-size,GLC,Gray,Hertz,25.40
Buenos Aires,Audi,Compact,Q3,Red,Budget,22.15
Munich,Volkswagen,Midsize,Passat,Blue,Enterprise,20.90
Beijing,Tesla,Full-size,Model X,White,Hertz,30.60
Milan,Toyota,Compact,Camry,Gray,Avis,21.85
Vienna,Honda,Midsize,Accord,Red,Budget,25.10
